doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_ORTHO_026,林宜玄,林口長庚紀念醫院,骨科部,骨科部,"運動傷害,骨關節退化,骨折外傷,足踝病變,手部與肘部病變,微創關節鏡手術,關節重建,超音波檢查與注射治療",
CGMH_LINKOU_ORTHO_027,楊正邦,林口長庚紀念醫院,骨科部,骨科部,"運動傷害,骨關節退化,骨折外傷,足踝病變,手部與肘部病變,微創關節鏡手術,關節重建,超音波檢查與注射治療",
CGMH_LINKOU_ORTHO_028,周應照,林口長庚紀念醫院,骨科部,骨科部,骨科外傷、骨折、上肢疾患、顯微手術,
CGMH_LINKOU_ORTHO_029,吳基銓,林口長庚紀念醫院,骨科部,骨科部,骨科外傷重建、膝部疾患、生物力學,
CGMH_LINKOU_ORTHO_030,葉文凌,林口長庚紀念醫院,骨科部,骨科部,肩、膝關節鏡手術及運動傷害、微創手術、關節重建,
CGMH_LINKOU_ORTHO_031,李柏成,林口長庚紀念醫院,骨科部,骨科部,骨科外傷、骨折、髖部疾患、生醫器材研發,
CGMH_LINKOU_ORTHO_032,黃毓智,林口長庚紀念醫院,骨科部,骨科部,骨科外傷、骨折、關節鏡及膝部韌帶重建,
CGMH_LINKOU_ORTHO_033,徐永衡,林口長庚紀念醫院,骨科部,骨科部,骨科外傷、骨折、上肢疾患、骨髓炎,
CGMH_LINKOU_ORTHO_034,游宜勳,林口長庚紀念醫院,骨科部,骨科部,一般外傷骨折、骨盆骨折,
CGMH_LINKOU_ORTHO_035,蔡秉叡,林口長庚紀念醫院,骨科部,骨科部,一般骨折外傷、足踝疾患,
CGMH_LINKOU_ORTHO_036,劉昌恒,林口長庚紀念醫院,骨科部,骨科部,一般骨折外傷,
CGMH_LINKOU_ORTHO_037,陳逸戎,林口長庚紀念醫院,骨科部,骨科部,一般骨折外傷、骨盆骨折,
CGMH_LINKOU_ORTHO_038,賴志揚,林口長庚紀念醫院,骨科部,骨科部,一般骨折外傷， 骨盆外傷,
CGMH_LINKOU_ORTHO_039,賴柏儒,林口長庚紀念醫院,骨科部,骨科部,一般骨折外傷、上肢疾患,
CGMH_LINKOU_ORTHO_040,張嘉獻,林口長庚紀念醫院,骨科部,骨科部,兒童先天疾患、兒童髖關節發育不良、腦性麻痺、脊椎側彎,
CGMH_LINKOU_ORTHO_041,高軒楷,林口長庚紀念醫院,骨科部,骨科部,骨科外傷、骨折、小兒骨折、兒童先天疾患、兒童髖關節發育不良,
CGMH_LINKOU_ORTHO_042,楊文一,林口長庚紀念醫院,骨科部,骨科部,髖關節重建手術、小兒骨科,
CGMH_LINKOU_ORTHO_043,徐郭堯,林口長庚紀念醫院,骨科部,骨科部,膝關節重建、肩關節重建、膝人工關節毀損後再置換、膝人工關節置換、膝韌帶重建,
CGMH_LINKOU_ORTHO_044,李昀達,林口長庚紀念醫院,骨科部,骨科部,微創脊椎內視鏡椎間盤突出切除手術、微創脊椎內視鏡減壓與融合手術、脊椎再翻修手術、頸椎退化性病變手術、頸椎人工椎間盤置換手術、脊椎骨折骨水泥手術、背痛、肩頸痛、骨刺及坐骨神經痛、脊椎側彎駝背、脊椎感染、脊椎腫瘤、骨質疏鬆治療、神經疼痛局部注射阻斷手術、四肢骨折重建手術,
CGMH_LINKOU_ORTHO_045,鄭有宏,林口長庚紀念醫院,骨科部,骨科部,運動傷害、微創關節鏡手術、骨折外傷手術、上肢關節病變(肩、肘、手部)、足踝病變、退化性關節炎治療、人工關節置換手術、超音波導引注射治療、骨科一般疾病,
CGMH_LINKOU_ORTHO_046,陳建銘,林口長庚紀念醫院,骨科部,骨科部,骨折外傷微創手術、骨質疏鬆與退化、運動傷害、再生醫學、手外科、重大外傷及人工關節置換,
CGMH_LINKOU_ORTHO_047,蕭博孟,林口長庚紀念醫院,骨科部,骨科部,"四肢複雜性骨折重建手術、骨折微創手術、人工關節置換手術、高齡族群骨折治療照護、骨質疏鬆預防及治療、超音波引導周邊神經阻斷術、玻尿酸, 自體高濃縮血小板 (PRP) 關節注射",
CGMH_LINKOU_ORTHO_048,廖述辰,林口長庚紀念醫院,骨科部,骨科部,骨科一般疾病、四肢複雜骨折重建手術、骨折微創手術、骨質疏鬆預防及治療、退化性關節炎治療(玻尿酸、自體高濃度血小板關節內注射)、人工關節置換手術、周邊神經阻斷術後止痛,
CGMH_LINKOU_ORTHO_049,羅濟安,林口長庚紀念醫院,骨科部,骨科部,骨科一般疾病、脊椎骨刺及坐骨神經痛、脊椎微創內視鏡手術、脊椎微創減壓融合術、脊椎外傷、脊椎骨折、骨質疏鬆治療、頸椎及腰椎神經阻斷疼痛注射術、頸椎微創融合固定術,
CGMH_LINKOU_NEURO_001,陳翊捷,林口長庚紀念醫院,神經內科,神經內科,巴金森氏症、肌張力不全、肌躍症、震顫、共濟失調、睡眠障礙、深層腦部刺激術,
CGMH_LINKOU_NEURO_002,蘇筱筑,林口長庚紀念醫院,神經內科,神經內科,巴金森氏症、肌張力不全、肌躍症、震顫、共濟失調、睡眠障礙,
CGMH_LINKOU_NEURO_003,陳柏霖,林口長庚紀念醫院,神經內科,神經內科,一般神經疾病、頭痛、巴金森症、腦血管疾病,
CGMH_LINKOU_NEURO_004,洪濬,林口長庚紀念醫院,神經內科,神經內科,認知功能障礙、感覺系統障礙、動作障礙疾病、帕金森病、帕金森症、肉毒桿菌素注射治療,
CGMH_LINKOU_NEURO_005,林宜穎,林口長庚紀念醫院,神經內科,神經內科,帕金森病、帕金森症、肌張力不全、步態障礙、動作障礙疾病、失智症、偏頭痛、肉毒桿菌素注射治療、經顱磁刺激術治療,
CGMH_LINKOU_NEURO_006,陳瓊珠,林口長庚紀念醫院,神經內科,神經內科,帕金森病、帕金森症、動作障礙疾病、深部腦刺激術,
CGMH_LINKOU_NEURO_007,翁意欣,林口長庚紀念醫院,神經內科,神經內科,帕金森病、帕金森症、失智症、神經遺傳學、神經影像學、動作障礙疾病,
