醫師姓名,專長
廖國臣,常見老年慢性病診治(如高血壓、糖尿病、慢性便祕、泌尿道感染等)、藥物整合、周全性老年整合評估
陳英仁,常見老年慢性病診治(如心臟病、高血壓、糖尿病、慢性便祕、泌尿道感染等)、藥物整合、周全性老年整合評估
何維邦,高齡醫學、腫瘤學、一般內科學、藥物整合、預防醫學
