醫師姓名,專長
周怡君,多發性硬化症、視神經脊髓炎 、 視神經炎 、 脊髓炎 、 腦炎、自體免疫腦炎 、抗NMDA 受體腦炎、 結節硬化症 、 小兒神經疾病、小兒肌肉疾病、發展遲緩 、 不明原因無力症
郭政諺,癲癇、癲癇女性用藥、嬰兒動作異常、發展、妥瑞症、頭痛、嬰兒腦部超音波
劉懿萱,兒童癲癇，兒童頭痛，妥瑞症，發展遲緩，小兒神經疾病
侯如盈,小兒神經疾病，癲癇，頭痛，發展遲緩，妥瑞症，腦部超音波
郭政諺,癲癇、癲癇女性用藥、嬰兒動作異常、發展、妥瑞症、頭痛、嬰兒腦部超音波
劉懿萱,兒童癲癇，兒童頭痛，妥瑞症，發展遲緩，小兒神經疾病
羅福松,兒童糖尿病、兒童生長、兒童青春期發育、兒童肥胖、兒童青少年甲狀腺及內分泌相關疾病
邱巧凡,兒童及青春期生長發育評估、身材矮小、性早熟、兒童肥胖、兒童糖尿病、兒童甲狀腺及內分泌相關疾病
顧培馨,兒童青春期發育、兒童生長評估、兒童肥胖、兒童青少年甲狀腺等內分泌相關疾病
賴柏榮,遺傳代謝醫學、遺傳學、罕見疾病、先天性代謝疾病、遺傳諮詢、基因診斷
黃敬之,兒童糖尿病、兒童生長、兒童青春期發育、兒童肥胖、兒童青少年甲狀腺及內分泌相關疾病
陳世翔,兒童血液學、兒童腫瘤學、兒童造血幹細胞移植、一般兒科學
江東和,兒童血液學、兒童腫瘤學、兒童造血幹細胞移植、安寧緩和醫療
張從彥,兒童血液學、兒童腫瘤學、兒童造血幹細胞移植、一般兒科學
王奕倫,一般兒科、兒童血液、腫瘤疾病
林建志,腦重症兒童之監測與治療
李恩沛,兒童重症加護
陳愛華,新生兒科學、一般兒科學
張涵碧,兒科、新生兒科、兒童重症加護
張郼榮,一般兒科、兒童胃腸專科、小兒急診
吳昌騰,一般兒科、小兒心臟科、兒童急重症醫學
黃一安,一般小兒科學、兒童急救加護科學
胡美華,一般兒科疾病、兒童神經內科學、兒童急症
詹珮君,一般兒科、咳嗽、氣喘、過敏、關節炎
何子明,"一般兒科,兒童心臟科"
何美萱,一般兒科、兒童胸腔、支氣管鏡
林芷儀,過敏氣喘、過敏性鼻炎、風濕性疾病、小兒過敏免疫疾病、一般兒科疾病
高純淳,"兒童急診醫學, 兒童過敏氣喘風濕"
