姓名,專長
張嘉獻,兒童先天疾患、兒童髖關節發育不良、腦性麻痺、脊椎側彎
高軒楷,骨科外傷、骨折、小兒骨折、兒童先天疾患、兒童髖關節發育不良
楊文一,髖關節重建手術、小兒骨科
徐郭堯,膝關節重建、肩關節重建、膝人工關節毀損後再置換、膝人工關節置換、膝韌帶重建
李昀達,微創脊椎內視鏡椎間盤突出切除手術、微創脊椎內視鏡減壓與融合手術、脊椎再翻修手術、頸椎退化性病變手術、頸椎人工椎間盤置換手術、脊椎骨折骨水泥手術、背痛、肩頸痛、骨刺及坐骨神經痛、脊椎側彎駝背、脊椎感染、脊椎腫瘤、骨質疏鬆治療、神經疼痛局部注射阻斷手術、四肢骨折重建手術
鄭有宏,運動傷害、微創關節鏡手術、骨折外傷手術、上肢關節病變(肩、肘、手部)、足踝病變、退化性關節炎治療、人工關節置換手術、超音波導引注射治療、骨科一般疾病
陳建銘,骨折外傷微創手術、骨質疏鬆與退化、運動傷害、再生醫學、手外科、重大外傷及人工關節置換
蕭博孟,"四肢複雜性骨折重建手術、骨折微創手術、人工關節置換手術、高齡族群骨折治療照護、骨質疏鬆預防及治療、超音波引導周邊神經阻斷術、玻尿酸, 自體高濃縮血小板 (PRP) 關節注射"
廖述辰,骨科一般疾病、四肢複雜骨折重建手術、骨折微創手術、骨質疏鬆預防及治療、退化性關節炎治療(玻尿酸、自體高濃度血小板關節內注射)、人工關節置換手術、周邊神經阻斷術後止痛
羅濟安,骨科一般疾病、脊椎骨刺及坐骨神經痛、脊椎微創內視鏡手術、脊椎微創減壓融合術、脊椎外傷、脊椎骨折、骨質疏鬆治療、頸椎及腰椎神經阻斷疼痛注射術、頸椎微創融合固定術
