醫師姓名,專長
洪錦益,成人精神疾患、憂鬱症、憂鬱引發之頭痛
李淑花,老人精神醫學、老年憂鬱症、一般精神疾病
沈信衡,憂鬱症及焦慮症、一般精神疾病、老年精神疾病
李晉邦,"一般精神疾病,憂鬱症,焦慮症"
許世杰,睡眠障礙、憂鬱症、焦慮症、躁鬱症、思覺失調症、職業身心健康、社區身心健康
楊緯聖,一般精神醫學、身心症、憂鬱症、焦慮症、兒童發展及早期療育、注意力不足過動症、自閉症、選擇性緘默、青少年情緒問題、親職、婦女及周產期身心議題
陳嘉祥,精神醫學、一般精神疾病、精神遺傳醫學
王樂詠,一般精神疾病、老年精神疾病
鍾宜航,一般精神疾病、睡眠障礙、心身症
張家銘,成人精神醫學、憂鬱症、自殺、創傷後壓力疾患
吳冠毅,睡眠障礙，焦慮症，躁鬱症，思覺失調症，老人憂鬱症，藥癮戒治
